epoch,generator_loss,generator_adversarial_loss,peak_to_peak_p99_loss,discriminator_loss,test_mean_peak_frequency_khz,generated_mean_peak_frequency_khz,peak_frequency_wasserstein_khz,test_mean_pulse_width_samples,generated_mean_pulse_width_samples,pulse_width_wasserstein_samples,psd_mean_absolute_error,score
5,1.130175264744923,1.0645804939598873,0.06559477335420148,0.994127918934,90.42874592833876,110.48330618892508,36.950325732899024,2.3832417316208963,1.7266613608398085,0.6568271228790801,1.2981260624655988e-05,3.0
10,1.0126950268087715,0.9530207545592867,0.05967426608348715,0.8175150135467792,90.42874592833876,34.59894136807818,60.74267100977199,2.3832417316208963,2.192942587741682,0.4287233290532514,6.699035111523699e-06,2.812673773646626
15,0.9060233810852314,0.8356553737459511,0.07036801247761168,0.6925808181022776,90.42874592833876,94.56718241042346,9.517915309446256,2.3832417316208963,2.043323297324579,0.39244827566654233,2.732818074946408e-06,1.0655979859066873
20,0.7764969550330063,0.7089776982521189,0.06751925780855376,0.635925385458716,90.42874592833876,97.91897394136808,9.178338762214985,2.3832417316208963,2.1710519687101715,0.36456568518109483,1.8676915942705818e-06,0.9473132269646418
25,0.7791809562979073,0.7047880024745546,0.07439295690635155,0.5297939684884302,90.42874592833876,104.10708469055375,13.842019543973942,2.3832417316208963,2.125027818089588,0.38936787759571717,1.1724158639481175e-06,1.0577287534389515
30,0.7764662144512966,0.7066795199081816,0.06978668889095044,0.4217985924975625,90.42874592833876,85.09934853420195,16.457247557003257,2.3832417316208963,2.162642100993766,0.33427937980842376,5.543449219658214e-07,0.9970224379855633
35,0.8166826449591538,0.7368498095150652,0.07983283647175493,0.3516690165832125,90.42874592833876,103.2764657980456,12.850162866449512,2.3832417316208963,2.1345931424897864,0.3371127627700987,1.5596185676258756e-07,0.8730272579057352
40,0.8020897569327519,0.7140399022348995,0.08804985212868657,0.32214522515905314,90.42874592833876,119.95724755700326,29.528501628664493,2.3832417316208963,2.1625149071410736,0.30239628295815596,1.28360198914379e-07,1.2694180689877528
45,0.7905459794504889,0.7095033803890491,0.08104259751994035,0.2935267689413038,90.42874592833876,139.307003257329,48.87825732899023,2.3832417316208963,2.2232316024399217,0.26905310141017724,1.7302077992553677e-07,1.7457638645174076
50,0.816720582287887,0.708437783964749,0.10828280243380316,0.3085504076604185,90.42874592833876,139.90065146579803,49.471905537459286,2.3832417316208963,2.0986147941647344,0.29076816101157066,2.60688636899431e-07,1.801643937305609
55,0.748891699416884,0.6707556823204304,0.07813601915178628,0.30036396379100866,90.42874592833876,176.996335504886,86.56758957654722,2.3832417316208963,2.2816727541945268,0.3743258687494632,2.5229087441402953e-07,2.9321450618031584
60,0.8034986463086359,0.6776389929241148,0.12585965723826967,0.28760759840751515,90.42874592833876,116.60179153094462,26.173045602605868,2.3832417316208963,2.191870412919731,0.21134214318406955,2.647624057772191e-07,1.0504885222464646
65,0.8003556676979723,0.6997325633620394,0.10062310253751688,0.28771035090602676,90.42874592833876,107.29885993485343,16.870114006514658,2.3832417316208963,2.159227636297932,0.2608588686724569,1.9532016892753745e-07,0.868758265312101
70,0.8627985191756281,0.713265924618162,0.14953259301596675,0.2544469412030845,90.42874592833876,126.62540716612378,36.196661237785015,2.3832417316208963,2.120936443440689,0.33267456959694397,2.491390489467449e-07,1.505282773140444
75,0.740610364182242,0.614075833353503,0.12653452980107274,0.29254077940151607,90.42874592833876,97.26058631921823,7.303338762214984,2.3832417316208963,2.248656798910499,0.15283099629073918,2.333153190647863e-07,0.4483068354023422
80,0.8424357550925222,0.7314710367856354,0.11096471650847073,0.24700403316267605,90.42874592833876,97.62947882736157,7.8407980456026065,2.3832417316208963,2.2713473575770142,0.1895242255104222,1.784889320788352e-07,0.5144931513140665
85,0.8196930577015055,0.6964810028158385,0.12321205796866581,0.24718281909309583,90.42874592833876,111.66693811074919,21.238192182410426,2.3832417316208963,2.2783162192594215,0.28666648336652834,2.13237271395883e-07,1.0276447059757434
90,0.8688283706533497,0.7416213108547802,0.12720705671557064,0.1877760703450647,90.42874592833876,99.4849348534202,9.288273615635179,2.3832417316208963,2.320824894402884,0.17236144690249566,1.3783677843548503e-07,0.5244052758758292
95,0.8218234322708229,0.7273531972334303,0.0944702358081423,0.25040503064620084,90.42874592833876,99.13680781758957,9.079397394136807,2.3832417316208963,2.3150324516006453,0.13112810768599623,1.0989247556381088e-07,0.45382317008583634
100,0.8361551294039036,0.7393872152114737,0.0967679141924299,0.19137791685503105,90.42874592833876,100.97760586319218,10.71498371335505,2.3832417316208963,2.301505411874976,0.2771913158777094,2.1036551345332555e-07,0.7282044288797158
