metric,wavegan,specgan,winner_lower_is_better,specgan_to_wavegan_ratio
dominant_frequency_hz,1441.0359430991437,2027.9074818112706,WaveGAN,1.4072566971854845
fwhm_samples,0.3061755503773469,0.03317757985635636,SpecGAN,0.10836129735201443
peak_amplitude,0.07156097884334925,0.16617759402514876,WaveGAN,2.3221816793328145
peak_location_samples,0.6600608100770983,0.5861657074600941,SpecGAN,0.8880480381673124
peak_to_peak,0.07473377377128146,0.15509773070292618,WaveGAN,2.0753365296070037
rms,0.001955058647952556,0.017177413976312863,WaveGAN,8.786137435980239
spectral_bandwidth_hz,315.03812693597405,2995.560888724987,WaveGAN,9.508566210253598
spectral_centroid_hz,784.9859723033841,958.6730616365597,WaveGAN,1.221261392510653
mean_psd_absolute_error,0.0013085192767903209,0.007780780084431171,WaveGAN,5.946247963206717
mean_log10_psd_absolute_error,0.1923830360174179,0.35428157448768616,WaveGAN,1.8415426943132882
NN L2: generated to real,1.1340305805206299,1.6300667524337769,WaveGAN,1.4374098727438358
NN L2: real to generated,1.2059186697006226,1.280113697052002,WaveGAN,1.0615257307275945
